letter	frequency
Drama	0.2827699917559769
Horror	0.006595218466611707
Thriller	0.10057708161582853
Romance	0.028854080791426217
Comedy	0.03297609233305853
Documentary	0.07227260236328661
War	0.04781533388293487
History	0.04589172849683979
Adventure	0.04149491618576532
Action	0.07034899697719153
Science Fiction	0.036273701566364384
Fantasy	0.01538884308876065
Animation	0.008793624622148942
Family	0.014289640010992031
Western	0.0010992030777686177
Crime	0.15526243473481727
TV Movie	0.05
Foreign	0.05
Mystery	0.032701291563616376
Music	0.006045616927727398
